name	query	url	date	results
PubMed/MEDLINE	(("mental rotation"[Title/Abstract] OR "mental transformation"[Title/Abstract] OR "spatial rotation" [Title/Abstract] OR "spatial transformation"[Title/Abstract] OR "spatial ability"[Title/Abstract] OR "spatial skills"[Title/Abstract]) AND ("infant"[Title/Abstract] OR "infants"[Title/Abstract] OR "infanthood"[Title/Abstract] OR "toddler"[Title/Abstract] OR "toddlers"[Title/Abstract] OR "toddlerhood"[Title/Abstract] OR "child"[Title/Abstract] OR "children"[Title/Abstract] OR "childhood" [Title/Abstract] OR "month"[Title/Abstract] OR "months"[Title/Abstract])) OR (("mental rotation"[MeSH Terms] OR "mental transformation"[MeSH Terms] OR "spatial rotation"[MeSH Terms] OR "spatial transformation"[MeSH Terms] OR "spatial ability"[MeSH Terms] OR "spatial skills"[MeSH Terms]) AND ("infant"[MeSH Terms] OR "infants"[MeSH Terms] OR "infanthood"[MeSH Terms] OR "toddler"[MeSH Terms] OR "toddlers"[MeSH Terms] OR "toddlerhood"[MeSH Terms] OR "child"[MeSH Terms] OR "children"[MeSH Terms] OR "childhood"[MeSH Terms] OR "month"[MeSH Terms] OR "months"[MeSH Terms]))	https://pubmed.ncbi.nlm.nih.gov/?term=%28%28“mental+rotation”%5BTitle%2FAbstract%5D+OR+“mental+transformation”%5BTitle%2FAbstract%5D+OR+“spatial+rotation”+%5BTitle%2FAbstract%5D+OR+“spatial+transformation”%5BTitle%2FAbstract%5D+OR+“spatial+ability”%5BTitle%2FAbstract%5D+OR+“spatial+skills”%5BTitle%2FAbstract%5D%29+AND+%28“infant”%5BTitle%2FAbstract%5D+OR+“infants”%5BTitle%2FAbstract%5D+OR+“infanthood”%5BTitle%2FAbstract%5D+OR+“toddler”%5BTitle%2FAbstract%5D+OR+“toddlers”%5BTitle%2FAbstract%5D+OR+“toddlerhood”%5BTitle%2FAbstract%5D+OR+“child”%5BTitle%2FAbstract%5D+OR+“children”%5BTitle%2FAbstract%5D+OR+“childhood”+%5BTitle%2FAbstract%5D+OR+“month”%5BTitle%2FAbstract%5D+OR+“months”%5BTitle%2FAbstract%5D%29%29+OR+%28%28“mental+rotation”%5BMeSH+Terms%5D+OR+“mental+transformation”%5BMeSH+Terms%5D+OR+“spatial+rotation”%5BMeSH+Terms%5D+OR+“spatial+transformation”%5BMeSH+Terms%5D+OR+“spatial+ability”%5BMeSH+Terms%5D+OR+“spatial+skills”%5BMeSH+Terms%5D%29+AND+%28“infant”%5BMeSH+Terms%5D+OR+“infants”%5BMeSH+Terms%5D+OR+“infanthood”%5BMeSH+Terms%5D+OR+“toddler”%5BMeSH+Terms%5D+OR+“toddlers”%5BMeSH+Terms%5D+OR+“toddlerhood”%5BMeSH+Terms%5D+OR+“child”%5BMeSH+Terms%5D+OR+“children”%5BMeSH+Terms%5D+OR+“childhood”%5BMeSH+Terms%5D+OR+“month”%5BMeSH+Terms%5D+OR+“months”%5BMeSH+Terms%5D%29%29	2021_12_06	604
Scopus	(“mental rotation” OR “mental transformation” OR “spatial rotation” OR “spatial transformation” OR “spatial ability” OR “spatial skills”) AND (“infant” OR “infants” OR “infanthood” OR “toddler” OR “toddlers” OR “toddlerhood” OR “child” OR “children” OR “childhood” OR “month” OR “months”)	https://www.scopus.com/results/results.uri?sort=plf-f&src=s&st1=%28%22mental+rotation%22+OR+%22mental+transformation%22+OR+%22spatial+rotation%22+OR+%22spatial+transformation%22+OR+%22spatial+ability%22+OR+%22spatial+skills%22%29+AND+%28%22infant%22+OR+%22infants%22+OR+%22infanthood%22+OR+%22toddler%22+OR+%22toddlers%22+OR+%22toddlerhood%22+OR+%22child%22+OR+%22children%22+OR+%22childhood%22+OR+%22month%22+OR+%22months%22%29&sid=8c04cd892f9bc57fef8f02571a7da210&sot=b&sdt=b&sl=303&s=TITLE-ABS-KEY%28%28%22mental+rotation%22+OR+%22mental+transformation%22+OR+%22spatial+rotation%22+OR+%22spatial+transformation%22+OR+%22spatial+ability%22+OR+%22spatial+skills%22%29+AND+%28%22infant%22+OR+%22infants%22+OR+%22infanthood%22+OR+%22toddler%22+OR+%22toddlers%22+OR+%22toddlerhood%22+OR+%22child%22+OR+%22children%22+OR+%22childhood%22+OR+%22month%22+OR+%22months%22%29%29&origin=searchbasic&editSaveSearch=&yearFrom=Before+1960&yearTo=Present	2021_12_06	1676
APA PsycINFO	(“mental rotation” OR “mental transformation” OR “spatial rotation” OR “spatial transformation” OR “spatial ability” OR “spatial skills”) AND (“infant” OR “infants” OR “infanthood” OR “toddler” OR “toddlers” OR “toddlerhood” OR “child” OR “children” OR “childhood” OR “month” OR “months”)	https://web.p.ebscohost.com/ehost/resultsadvanced?vid=2&sid=b830efa0-fd43-4e5c-91e1-1222fcf03661%40redis&bquery=TI+(+(“mental+rotation”+OR+“mental+transformation”+OR+“spatial+rotation”+OR+“spatial+transformation”+OR+“spatial+ability”+OR+“spatial+skills”)+AND+(“infant”+OR+“infants”+OR+“infanthood”+OR+“toddler”+OR+“toddlers”+OR+“toddlerhood”+OR+“child”+OR+“children”+OR+“childhood”+OR+“month”+OR+“months”)+)+OR+AB+(+(“mental+rotation”+OR+“mental+transformation”+OR+“spatial+rotation”+OR+“spatial+transformation”+OR+“spatial+ability”+OR+“spatial+skills”)+AND+(“infant”+OR+“infants”+OR+“infanthood”+OR+“toddler”+OR+“toddlers”+OR+“toddlerhood”+OR+“child”+OR+“children”+OR+“childhood”+OR+“month”+OR+“months”)+)+OR+KW+(+(“mental+rotation”+OR+“mental+transformation”+OR+“spatial+rotation”+OR+“spatial+transformation”+OR+“spatial+ability”+OR+“spatial+skills”)+AND+(“infant”+OR+“infants”+OR+“infanthood”+OR+“toddler”+OR+“toddlers”+OR+“toddlerhood”+OR+“child”+OR+“children”+OR+“childhood”+OR+“month”+OR+“months”)+)&bdata=JmRiPXBkaCZ0eXBlPTEmc2VhcmNoTW9kZT1TdGFuZGFyZCZzaXRlPWVob3N0LWxpdmU%3d	2021_12_06	58
ProQuest Dissertations & Theses Global	(“mental rotation” OR “mental transformation” OR “spatial rotation” OR “spatial transformation” OR “spatial ability” OR “spatial skills”) AND (“infant” OR “infants” OR “infanthood” OR “toddler” OR “toddlers” OR “toddlerhood” OR “child” OR “children” OR “childhood” OR “month” OR “months”)	https://www.proquest.com/pqdtglobal/results/29B348024A8A4B77PQ/1?accountid=11531	2021_12_06	278
			Database total	2616
			–thereof unique	1954
			Reviews	76
			–thereof new	34
			References	94
			–thereof new	49
