source	authors	year	type	title	journal	url	abstract	rater_1	excl_english_1	excl_groupstudy_1	excl_age_1	excl_healthy_1	excl_task_1	excl_stats_1	include_1	comment_1	rater_2	excl_english_2	excl_groupstudy_2	excl_age_2	excl_healthy_2	excl_task_2	excl_stats_2	include_2	comment_2	code_1	code_2	code_match	code_discuss	code_final	bin_1	bin_2	bin_match
database	Aarsen, F. K.; Van Dongen, H. R.; Paquier, P. F.; Van Mourik, M.; Catsman-Berrevoets, C. E.	2004	journalArticle	Long-term sequelae in children after cerebellar astrocytoma surgery.	Neurology	https://doi.org/10.1212/01.wnl.0000120549.77188.36	OBJECTIVE: To study long-term effects on neurologic, neuropsychological, and behavioral functioning in children treated for cerebellar pilocytic astrocytoma  (CPA) without additional radio- and chemotherapy. METHODS: The authors assessed  speech, language, nonverbal intelligence, attention, memory, executive skills, and  visual (-spatial) functions in a consecutive series of 23 children. Neurologic and  neuropsychological follow-up ranged from 1 year to 8 years and 10 months after  resection. RESULTS: Long-term sequelae in the investigated domains were found in all  children. Apraxia, motor neglect, and dysarthric features, as well as language,  sustained attention, visual-spatial, executive, memory, and behavioral problems,  were observed in various combinations and to different degrees. No clear pattern of  neurocognitive disturbances could be discerned in this group. In addition,  significant relationships were revealed between severity of preoperative  hydrocephalus and visual-spatial skills. The high percentage of children who needed  special education reflects the severity of the impairments. CONCLUSION: Despite the  current opinion of a good quality of life after CPA treatment, careful long-term  neurocognitive follow-up is needed in order to inform parents and teachers about the  behavioral and cognitive sequelae and to contribute to timely social and educational  intervention.	AE	0	0	1	0	0	0	0		SK	0	0	0	1	0	0	0		3	4	0	3	3	0	0	1
database	Aas, M.; Navari, S.; Gibbs, A.; Mondelli, V.; Fisher, H.L.; Morgan, C.; Morgan, K.; MacCabe, J.; Reichenberg, A.; Zanelli, J.; Fearon, P.; Jones, P.B.; Murray, R.M.; Pariante, C.M.; Dazzan, P.	2012	journalArticle	Is there a link between childhood trauma, cognition, and amygdala and hippocampus volume in first-episode psychosis?	Schizophrenia Research	https://doi.org/10.1016/j.schres.2012.01.035	Patients with psychosis have higher rates of childhood trauma, which is also associated with adverse effects on cognitive functions such as attention, concentration and mental speed, language, and verbal intelligence. Although the pathophysiological substrate for this association remains unclear, these cognitive deficits may represent the functional correlate of changes observed in relation to trauma exposure in structures such as the amygdala and the hippocampus. Interestingly, these structures are often reported as altered in psychosis. This study investigated the association between childhood trauma, cognitive function and amygdala and hippocampus volume, in first-episode psychosis. We investigated 83 patients with first-episode psychosis and 63 healthy controls. All participants underwent an MRI scan acquired with a GE Sigma 1.5-T system, and a standardized neuropsychological assessment of general cognition, memory, processing speed, executive function, visuo-spatial abilities, verbal intelligence, and language. In a subsample of the patients (N. =. 45) information on childhood trauma was collected with the Childhood Experience of Care and Abuse Questionnaire (CECA.Q). We found that amygdala, but not hippocampus, volume was significantly smaller (p. =. 0.001) in patients compared to healthy controls. There was a trend level interaction for hippocampus volume between group and sex (p. =. 0.056). A history of childhood trauma was associated with both worse cognitive performance and smaller amygdala volume. This smaller amygdala appeared to mediate the relationship between childhood trauma and performance on executive function, language and verbal intelligence in patients with psychosis. This points to a complex relationship between childhood trauma exposure, cognitive function and amygdala volume in first-episode psychosis. © 2012 Elsevier B.V.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Abad, Carla	2018	thesis	The Development of Early Spatial Thinking		https://www.proquest.com/dissertations-theses/development-early-spatial-thinking/docview/2179293706/se-2?accountid=11531	The different spatial experiences in the lives of young boys and girls may partly explain sex differences in spatial skills (Baenninger & Newcombe, 1995; Nazareth et al., 2013; Newcombe, Bandura & Taylor, 1983). While several studies have examined the influence of spatial activities on the development of spatial skills (e.g., Nazareth et al., 2013) there currently exists no widely used comprehensive measure to assess children’s concurrent participation in spatial activities and engagement with spatial toys. Study 1 of the current dissertation filled this gap in the field of spatial research through the creation of the Spatial Activity Questionnaire, a comprehensive survey designed to assess children’s involvement in spatial activities and engagement with spatial toys of diverse gender-typed content. The toys and activities 295 children were reported to have access to and engage with were explored to assess patterns of play with spatial and gender-stereotyped toys and activities. A sample of 76 children between 4 and 6 years of age and their primary caregivers participated in studies 2, 3, and 4 to explore the toys and activities young children have access to and play with (study 2), the link between play and mental rotation (study 3), and the relation between play, gender stereotypes, and mental rotation skills (study 4). Findings reveal great variability in the toys and activities children have access to and play with, with sex difference suggesting girls play with low-spatial and stereotypically feminine toys and activities more than boys while boys play with highly-spatial and stereotypically masculine toys and activities more than girls. Adding to the exiting literature suggesting the inconsistency of sex differences in early mental rotation skills, our results suggest no sex differences in children’s mental rotation ability. Furthermore, no relations were discovered between children’s play, gender stereotypes, and mental rotation ability. These findings point to the need to further explore the influence of play on when and how sex differences in mental rotation ability develop in order to promote fun and easy ways to support spatial learning in young boys and girls.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Abad, Carla; Odean, Rosalie; Pruden, Shannon M.	2018	journalArticle	Sex Differences in Gains Among Hispanic Pre-kindergartners' Mental Rotation Skills.	Frontiers in psychology	https://doi.org/10.3389/fpsyg.2018.02563	The current study explores change in mental rotation skills throughout the pre-kindergarten year in a Hispanic population to better understand the development  of early sex differences in mental rotation. Ninety-six Hispanic children (M = 4  years 8 months) completed a mental rotation task at the beginning and end of  pre-kindergarten. Results suggest Hispanic boys and girls differed in gains on  mental rotation ability, with boys improving significantly more than girls during  pre-kindergarten on a mental rotation task. This study highlights the significance  of studying mental rotation abilities in a Hispanic population of pre-kindergarten  aged children and suggests the importance of examining sex differences in mental  rotation over time, rather than at one time-point, to better understand when sex  differences in spatial skills develop. We discuss various factors that potentially  affect the growth of spatial skills including the role of early education, spatial  experiences, and spatial language input.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Abarrategui, B.; Parejo-Carbonell, B.; García García, M.E.; Di Capua, D.; García-Morales, I.	2018	journalArticle	The cognitive phenotype of idiopathic generalized epilepsy	Epilepsy and Behavior	https://doi.org/10.1016/j.yebeh.2018.10.007	Objective: Dysexecutive traits have been described in idiopathic generalized epilepsy (IGE), but studies mainly focused on juvenile myoclonic epilepsy (JME). To better understand the neuropsychology of IGE, more research is needed on syndromes other than JME, controlling potential confounding factors as the cognitive effects of valproate and epileptic discharges (ED). We describe the neuropsychological profile of a group of patients with different syndromes of IGE including simultaneous video electroencephalography (EEG). Methods: We performed a comprehensive cognitive and neuropsychiatric evaluation with video-EEG on 61 adults with IGE (JME 19; IGE with generalized tonic–clonic seizures [GTCS] alone [IGE-GTCS] 22; childhood absence epilepsy [CAE] or juvenile absences epilepsy [JAE] persisting in adulthood 20). We compared results between patients (globally and by syndrome) and a control group of 21 individuals (similar age, educational level); p-values were adjusted for multiple testing according to a 0.05 false discovery rate. Results: Patients obtained significantly lower results than controls on visuospatial working memory, processing speed, cognitive flexibility and strategy, abstract visuospatial reasoning, arithmetic, and acquired knowledge. While CAE/JAE showed the lowest scores on cognitive assessment and highest anxiety index, IGE-GTCS showed the most favorable scores. Most tests were not influenced by valproate intake, and the dose did not correlate with cognitive performance in the test that yielded differences between patients and controls. Epileptic discharges during assessment were not frequent (10 patients, 1–4 tests). Significance: Our findings suggest that patients with IGE have significantly lower abilities in various executive functions and acquired knowledge, compared to population of same age and education. The low frequency of ED on simultaneous video-EEG and absence of correlation of scores with valproate dose reinforce that the obtained results are due to a cognitive phenotype in IGE. This phenotype may be influenced by syndrome, and patients with CAE/JAE persisting in the adult may have a wider neuropsychiatric impairment. © 2018 Elsevier Inc.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Abramov, O.; Kern, F.; Koutalidis, S.; Mertens, U.; Rohlfing, K.; Kopp, S.	2021	journalArticle	The Relation Between Cognitive Abilities and the Distribution of Semantic Features Across Speech and Gesture in 4-year-olds	Cognitive Science	https://doi.org/10.1111/cogs.13012	When young children learn to use language, they start to use their hands in co-verbal gesturing. There are, however, considerable differences between children, and it is not completely understood what these individual differences are due to. We studied how children at 4 years of age employ speech and iconic gestures to convey meaning in different kinds of spatial event descriptions, and how this relates to their cognitive abilities. Focusing on spontaneous illustrations of actions, we applied a semantic feature (SF) analysis to characterize combinations of speech and gesture meaning and related them to the child's visual-spatial abilities or abstract/concrete reasoning abilities (measured using the standardized SON-R (Formula presented.) test). Results show that children with higher cognitive abilities convey significantly more meaning via gesture and less solely via speech. These findings suggest that young children's use of cospeech representational gesturing is positively related to their mental representation and reasoning abilities. © 2021 The Authors. Cognitive Science published by Wiley Periodicals LLC on behalf of Cognitive Science Society (CSS).	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Acevedo, J.A.	2017	journalArticle	Survivor fitness: An exercise program for young survivors and patients with cancer	Clinical Journal of Oncology Nursing	https://doi.org/10.1188/17.CJON.257-258	Young survivors of cancer often face challenges reintegrating into their schools and communities after treatment. Maintaining a physically active lifestyle is recommended, but finding appropriate exercises that cater to their needs can be difficult. As a result, the pilot fitness program Move4Fun/Move4Fitness was developed. This 12-week basic fitness program teaches young survivors of cancer appropriate exercises and how they can exercise on their own with limited space and equipment. Participants experienced physical and mental transformations demonstrated through weight loss, building of muscle, and increased self-confidence. © 2017 by the Oncology Nursing Society (ONS).	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	ACM SIGAI; ACM SIGCHI	2017	conferencePaper	International Conference on Intelligent User Interfaces, Proceedings IUI	Int Conf Intell User Interfaces Proc IUI	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019503337&partnerID=40&md5=ff6fc7d0fddfc08f51855cce34b609c5	The proceedings contain 56 papers. The topics discussed include: BCIforReal: an application-oriented approach to BCI out of the laboratory; exploratory search and interactive data analytics; interacting with recommender systems; creating custom wearable electronics: from design to fabrication to experimentation; exploring emotions in online movie reviews for online browsing; visualizing insider threats: an effective interface for security analytics; a gestural interface for practicing children's spatial skills; an interactive points of interest guidance system; an analysis and modeling framework for personalized interaction; monitoring response quality during campimetry via eye-tracking; monitoring response quality during campimetry via eye-tracking; towards intelligent surgical microscope: micro-surgeons' gaze and instrument tracking; towards automatic skill evaluation in microsurgery; and using virtual reality to train designers to develop friendly interfaces for achromatic vision patients.	AE	0	1	0	0	0	0	0		SK	0	1	0	0	0	0	0		2	2	1	NA	2	0	0	1
reference	Acredolo, Linda P; Adams, Anne; Goodwyn, Susan W	1984	journalArticle	The role of self-produced movement and visual tracking in infant spatial orientation	Journal of Experimental Child Psychology	https://doi.org/10.1016/0022-0965(84)90128-0	In two longitudinal studies, infants were trained at 12 and 18 months to find an object hidden in one of two identical wells in a Plexiglas box. On the test trial, normal access was blocked and infants were either guided by their mother or allowed to move on their own to another opening on the opposite side. In Experiment 1 significantly more correct responding occurred after active movement than after passive at 12 months, with correct responding related to high visual tracking. In contrast, at 18 months correct search without tracking predominated among both movement conditions. A difference between the conditions in the position of the mother on the test trial was ruled out as a contributor to performance on the basis of data from Experiment 2. When opaque sides were inserted to prevent tracking in Experiment 3, active movement no longer facilitated correct search at 12 months, thus indicating that the tracking and not the active movement per se was the critical factor.	AE	0	0	0	0	1	0	0		SK	0	0	0	0	1	0	0		5	5	1	NA	5	0	0	1
database	Adams, Imke L. J.; Lust, Jessica M.; Wilson, Peter H.; Steenbergen, Bert	2017	journalArticle	Development of motor imagery and anticipatory action planning in children with developmental coordination disorder - A longitudinal approach.	Human movement science	https://doi.org/10.1016/j.humov.2017.08.021	Children with impaired motor coordination (or Development Coordination Disorder - DCD) have difficulty with the predictive control of movements, evidenced by  cross-sectional studies that show impaired motor imagery and action planning  abilities. What remains unclear is whether this deficit in predictive control  reflects immaturity of the motor system (a developmental delay) or some deviation  from normal development (a disorder). To advance this discussion the present study  used a longitudinal design to examine the development of motor imagery and action  planning in children with DCD. Thirty children were included in the DCD group (aged  6-11years) and age- and gender-matched to 30 controls. The DCD group had a mABC-2  score≤16th percentile, the control group>20th percentile. Motor imagery was assessed  with the hand rotation task, action planning with a test for end-state comfort.  Children participated in three measurements, with one year in between measurements.  Results showed that children with DCD were slower and less accurate than their  typically developing peers in all subsequent years but were able to improve their  motor imagery ability over time. Furthermore, children with DCD showed less planning  for ESC at the start of the present study, but were able to catch up with their  peers during two-year follow up. These results exemplify that improvement of motor  imagery and action planning ability is possible in DCD, and they lend theoretical  support to the use of new training techniques that focus on training motor imagery  to improve motor skills in children with DCD.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
